iter	Passed	Remaining
215	458	1664
216	460	1660
217	461	1655
218	462	1650
219	464	1646
220	466	1643
221	467	1638
222	468	1633
223	470	1629
224	471	1624
225	473	1620
226	474	1615
227	476	1612
228	477	1608
229	479	1604
230	480	1600
231	482	1597
232	484	1593
233	485	1589
234	486	1584
235	488	1581
236	490	1579
237	492	1575
238	493	1570
239	495	1567
240	496	1563
241	497	1559
242	499	1555
243	500	1551
244	502	1547
245	503	1543
246	504	1539
247	506	1534
248	507	1531
249	509	1527
250	510	1523
251	511	1519
252	513	1516
253	514	1512
254	516	1508
255	517	1504
256	518	1500
257	520	1496
258	521	1492
259	523	1488
260	524	1485
261	526	1481
262	527	1478
263	529	1475
264	530	1470
265	531	1466
266	532	1463
267	534	1459
268	535	1455
269	537	1452
270	538	1448
271	539	1445
272	541	1441
273	542	1437
274	543	1434
275	545	1430
276	546	1426
277	547	1422
278	549	1419
279	550	1416
280	552	1412
281	553	1409
282	554	1405
283	556	1402
284	557	1399
285	559	1396
286	560	1392
287	561	1388
288	563	1385
289	564	1382
290	565	1378
291	567	1375
292	568	1372
293	570	1368
294	571	1365
295	572	1362
296	574	1358
297	575	1355
298	577	1352
299	578	1350
300	580	1347
301	581	1343
302	582	1340
303	584	1337
304	585	1333
305	586	1330
306	588	1327
307	589	1324
308	590	1320
309	592	1318
310	593	1315
311	594	1312
312	596	1308
313	597	1305
314	598	1302
315	600	1298
316	601	1295
317	602	1292
318	603	1289
319	605	1285
320	606	1282
321	607	1279
322	609	1276
323	610	1273
324	611	1270
325	613	1267
326	614	1264
327	615	1261
328	616	1257
329	619	1257
330	621	1255
331	622	1252
332	623	1248
333	624	1245
334	626	1242
335	627	1239
336	628	1236
337	629	1233
338	631	1230
339	632	1227
340	633	1224
341	634	1221
342	635	1217
343	637	1214
344	638	1211
345	639	1208
346	640	1206
347	642	1203
348	643	1200
349	644	1197
350	645	1194
351	647	1191
352	648	1188
353	649	1185
354	651	1182
355	652	1179
356	653	1176
357	654	1174
358	656	1171
359	657	1168
360	658	1165
361	659	1163
362	661	1160
363	662	1157
364	663	1154
365	664	1151
366	665	1148
367	667	1145
368	668	1143
369	669	1140
370	670	1137
371	671	1134
372	673	1131
373	674	1129
374	675	1126
375	677	1123
376	678	1121
377	679	1118
378	681	1116
379	682	1113
380	683	1110
381	684	1108
382	686	1105
383	687	1103
384	689	1101
385	690	1099
386	692	1096
387	693	1094
388	695	1092
389	696	1089
390	698	1088
391	700	1086
392	701	1084
393	703	1081
394	705	1080
395	707	1078
396	708	1076
397	709	1073
398	711	1071
399	712	1068
400	714	1066
401	715	1064
402	717	1062
403	718	1060
404	720	1058
405	722	1056
406	724	1055
407	726	1053
408	727	1051
409	729	1050
410	732	1049
411	733	1047
412	735	1045
413	736	1043
414	738	1040
415	739	1038
416	741	1036
417	743	1034
418	744	1032
419	746	1030
420	749	1030
421	750	1028
422	752	1026
423	753	1024
424	755	1022
425	756	1019
426	758	1017
427	759	1014
428	760	1012
429	762	1010
430	763	1007
431	764	1005
432	766	1003
433	767	1001
434	768	998
435	770	996
436	771	994
437	773	991
438	774	989
439	776	987
440	777	985
441	778	983
442	780	980
443	781	978
444	782	976
445	783	973
446	785	971
447	786	969
448	787	966
449	789	964
450	790	962
451	791	960
452	793	957
453	794	955
454	795	953
455	797	951
456	798	949
457	800	946
458	801	944
